epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,192.864,1.30903,1.04857,1.42532,0.91,0.875,0.90425,0.62572,1.10882,0.9177,1.30811,0.003862,0.003862,0.003862
64,196.142,1.2667,1.044,1.38791,0.95286,0.875,0.90006,0.65074,1.08657,0.99842,1.31822,0.003763,0.003763,0.003763
65,198.811,1.20769,0.98112,1.33461,0.94355,0.875,0.90601,0.61366,1.1162,1.04683,1.39166,0.003664,0.003664,0.003664
66,201.507,1.21008,1.01934,1.38392,0.93186,0.82013,0.87613,0.62597,1.16157,0.97062,1.38059,0.003565,0.003565,0.003565
67,204.187,1.18167,0.95152,1.32628,0.93964,0.85276,0.932,0.67505,1.10545,0.88544,1.31401,0.003466,0.003466,0.003466
68,207.84,1.1797,1.02761,1.3279,0.95786,0.9049,0.91409,0.66996,1.06971,0.82396,1.30026,0.003367,0.003367,0.003367
69,210.81,1.16879,0.93815,1.28154,0.95488,0.87432,0.90882,0.68179,1.04447,0.95065,1.29135,0.003268,0.003268,0.003268
70,213.409,1.16954,0.95932,1.32231,0.99295,0.875,0.93145,0.70374,0.97916,0.89185,1.25772,0.003169,0.003169,0.003169
71,216.045,1.1073,0.91886,1.26144,0.93509,0.95195,0.94874,0.70391,1.01261,0.87527,1.28641,0.00307,0.00307,0.00307
72,219.302,1.16553,0.96515,1.30576,0.95244,0.85417,0.94156,0.67489,1.09553,0.8921,1.35034,0.002971,0.002971,0.002971
73,222.518,1.15737,0.96301,1.32977,0.93769,0.89334,0.94903,0.67499,1.06111,0.85406,1.32201,0.002872,0.002872,0.002872
74,225.156,1.18469,1.03091,1.34572,0.98518,0.89105,0.95188,0.7211,0.98848,0.82966,1.28467,0.002773,0.002773,0.002773
75,227.765,1.16699,0.95718,1.33393,0.95443,0.95251,0.952,0.7041,0.99341,0.8974,1.28024,0.002674,0.002674,0.002674
76,230.527,1.12612,0.9659,1.30565,0.99204,0.91667,0.92217,0.6802,0.97239,0.94159,1.26291,0.002575,0.002575,0.002575
77,234.125,1.02499,0.85481,1.22833,0.97695,0.91667,0.92099,0.68784,0.97849,0.87065,1.25967,0.002476,0.002476,0.002476
78,236.907,1.09278,0.89781,1.26489,0.92894,0.875,0.91436,0.67808,1.03687,0.83792,1.31061,0.002377,0.002377,0.002377
79,239.613,1.09488,0.94235,1.27102,0.89275,0.875,0.88995,0.65499,1.04893,0.87345,1.34104,0.002278,0.002278,0.002278
80,242.248,1.10663,0.92773,1.29324,0.94402,0.86478,0.898,0.67501,1.01575,0.90408,1.29978,0.002179,0.002179,0.002179
